"","N","Loss","Entropy Mean","Entropy Standart Deviation","Total Entropy(Byte)"
"1",32,8382.12793359375,10.5896884683453,0.334297148200044,42.3587538733813
"2",48,6881.40921171875,10.2040969336024,0.34524312916674,61.2245816016145
"3",64,5991.40495429688,9.83313752140352,0.370410035052422,78.6651001712281
"4",80,3555.48578072917,9.44773319577016,0.445437771864567,94.4773319577016
"5",96,3000.15832669271,9.09957070089945,0.389378934700444,109.194848410793
"6",112,2545.98381490885,8.80698647189587,0.430390224358032,123.297810606542
"7",128,2612.71047539063,8.54120307209816,0.428406908957324,136.659249153571
"8",144,3062.50027903646,8.27441261918915,0.459538368300775,148.939427145405
"9",160,3089.77020872396,8.11298353214454,0.342989023444706,162.259670642891
"10",176,3260.27313138021,7.8898941647899,0.304268180434487,173.577671625378
"11",192,3244.91174921875,7.76785630982808,0.323817295664555,186.428551435874
"12",208,3132.90338893229,7.64177631257367,0.396975051859499,198.686184126915
"13",224,3191.52820273438,7.52502145078087,0.306856435143596,210.700600621864
"14",240,3105.69600234375,7.41337941785751,0.299006869039272,222.401382535725
"15",256,2927.81703085937,7.29226440201683,0.334777030150764,233.352460864539
"16",272,3082.40983450521,7.19947023894458,0.329689988403204,244.781988124116
"17",288,2828.83204264323,7.13085208952128,0.328027837458364,256.710675222766
"18",304,2805.51604199219,7.03741508996771,0.405689040437574,267.421773418773
"19",320,2944.67687408854,6.94647589749263,0.338196221623936,277.859035899705
"20",336,2724.39139635417,6.83305082677609,0.385438311816251,286.988134724596
"21",352,2750.28665514323,6.79859806704243,0.392447147052551,299.138314949867
"22",368,2940.60601979167,6.68570640873847,0.384604733901191,307.54249480197
"23",384,2686.24634798177,6.60903493658483,0.375818459864566,317.233676956072
"24",400,2539.86193977865,6.55710994189915,0.401195699539839,327.855497094957
"25",416,2699.78653665365,6.46676965911517,0.401167868711741,336.272022273989
"26",432,2722.58415605469,6.37873746912366,0.440294840010806,344.451823332678
