"","N","Loss","Entropy Mean","Entropy Standart Deviation"
"1",32,0.0159670723537604,9.59671411637868,0.162769143101259
"2",48,0.0141610919093092,9.17014881354549,0.249861525501091
"3",64,0.0110629464705785,8.80826603315881,0.231255137651256
"4",80,0.00924486458127697,8.37564254986803,0.440386907418763
"5",96,0.00933978956614931,7.96866360986616,0.829096212299739
"6",112,0.00688683398713668,7.5621837042706,0.915618801590893
"7",128,0.00660661288884779,7.17202359317039,1.22622294590847
"8",144,0.00827906312098106,7.11007627536825,1.06023097491759
"9",160,0.00641118121594191,6.54540635102518,1.50583450215462
"10",176,0.00580795977686842,6.02643413490261,1.75087938797153
"11",192,0.00633257392495871,5.77712375903252,1.80852023643244
"12",208,0.00776320159286261,5.30075466284933,1.92755703720379
"13",224,0.00639363533804814,5.20751476412787,1.96248833783499
"14",240,0.00593262927842637,4.97432260072786,2.00309502534634
"15",256,0.00597329144490262,4.65565061921507,2.02523721291598
