"","N","Loss","Entropy Mean","Entropy Standart Deviation","Total Entropy(Byte)"
"1",32,1751.4385735026,15.0520925993979,0.299520729434057,60.2083703975915
"2",48,1363.67759739583,14.7981184736294,0.268611308331245,88.7887108417762
"3",64,1115.497059375,14.2995842238369,0.477766016299507,114.396673790695
"4",80,953.535341796875,13.8698233090297,0.57187530798058,138.698233090297
"5",96,766.485942073568,13.2140656203091,1.68807666649515,158.56878744371
"6",112,845.192169498698,12.5934874484683,1.73470406618049,176.308824278557
"7",128,685.422537369792,11.8339466388345,2.07833427859766,189.343146221352
"8",144,765.036541389974,11.0970794618447,2.54506613404407,199.747430313205
"9",160,638.169822281901,10.2262680429004,3.00147846415009,204.525360858008
"10",176,666.795653336589,9.17367595990452,3.20771424588315,201.820871117899
"11",192,684.431486588542,8.45915710826208,3.27308887606875,203.01977059829
"12",208,692.496954736328,7.92727592449161,3.29853975106602,206.109174036782
"13",224,675.075725634766,7.37572973955103,3.32630560160249,206.520432707429
"14",240,561.987459472656,7.21714132720663,3.6247167872513,216.514239816199
"15",256,607.086884342448,6.91353315016335,3.44865410355309,221.233060805227
"16",272,660.243852994792,6.64065803052029,3.41994145422382,225.78237303769
"17",288,563.38207648112,6.2960416911013,3.44110386771374,226.657500879647
"18",304,602.506162076823,6.17454938389089,3.32410272360859,234.632876587854
"19",320,548.582876155599,6.27976309101925,3.52810442854441,251.19052364077
"20",336,543.293397802734,6.0815986764072,3.57950465727942,255.427144409102
"21",352,500.002215934245,6.25680603765697,3.28492399441759,275.299465656907
"22",368,496.436310611979,5.70609936532786,3.16080273953526,262.480570805081
"23",384,487.945001627604,5.65052180053649,3.35998351412484,271.225046425752
"24",400,463.558388183594,5.9597733114242,2.96846155990038,297.98866557121
"25",416,400.152563509115,5.88503009600944,3.11581343730839,306.021564992491
"26",432,411.42971706543,6.05714191876445,2.93930580915853,327.08566361328
